"","pvalue","difference"
"asp",1e-101,-17
"lys",1e-101,-19
"glu",2e-100,-18
"molecularweight",5e-98,-27425
"proteinlength",4e-97,-243.5
"asn",9e-97,-14
"gln",8e-94,-10
"absolutecost",6e-90,-237.24
"ile",9e-82,-14
"leu",6e-81,-21
"arg",4e-80,-9
"gly",1e-76,-14
"thr",5e-76,-14
"ala",7e-76,-13
"pro",8e-74,-10
"ser",3e-72,-18
"val",3e-72,-13
"percentasp",6e-72,-0.022685059161315
"tyr",5e-69,-8
"met",9e-63,-4
"his",4e-62,-4
"iupredlong",3e-58,-6.93359375
"phe",1e-55,-8
"percentglu",8e-54,-0.02096405467192
"gravyscore",1e-51,0.333545
"trp",4e-38,-2
"percentcys",2e-33,0.0098317335601
"multifunctional",1e-32,1958.5
"disobindinglong",2e-32,0
"disobindingshort",2e-32,0
"percentiupredshortbinding",6e-32,0
"percentlys",9e-27,-0.014217757864295
"percentasn",4e-25,-0.01156761069006
"percentmet",3e-22,0.00477843703821
"pi",4e-22,1.42
"percentgln",2e-21,-0.00794477108126
"cai",5e-21,-0.023
"aromaticityscore",2e-18,0.0162435
"cys",4e-15,-1
"disorder",4e-14,-5.00567646835855
"percentphe",5e-14,0.00943889464811
"percentiupredlongbinding",1e-10,0
"scansitemotifs",1e-10,-1.5
"iupredshort",9e-09,-3.2843137254902
"fopscore",4e-08,-0.014
"percentleu",1e-06,0.004318716447025
"percentscansitemotifs",5e-05,-0.001418810375345
"codonbias",6e-05,-0.0125
"percentgly",6e-05,-0.00293255131964
"percentval",0.001,0.00592482363316
"percentser",0.002,0.00320512820513
"percentala",0.01,-0.00190873503443499
"percentarg",0.01,0.00349286055886
"interactorsyeast",0.02,0
"halflife",0.07,40.5
"evolutionaryrate",0.1,-0.0130529
"interactorsms",0.1,-3
"percentthr",0.2,0.00191043932896
"percenttyr",0.3,0.000966294193074993
"percentpro",0.6,0
"percentile",0.6,-0.000215519423514984
"percenthis",0.6,-0.000263671360010001
"abundance",0.7,-140
"percenttrp",0.7,0.00058789113726
