"","pvalue","difference"
"molecularweight",0.3,58379
"proteinlength",0.3,502
"ala",0.3,21
"arg",0.3,36
"asn",0.3,29.5
"asp",0.3,36.5
"gln",0.3,18.5
"glu",0.3,37
"gly",0.3,26
"his",0.3,10
"leu",0.3,55.5
"phe",0.3,34
"pro",0.3,19
"ser",0.3,42.5
"thr",0.3,38.5
"trp",0.3,8
"tyr",0.3,21.5
"val",0.3,28
"absolutecost",0.3,511.45
"evolutionaryrate",0.3,-0.0570962
"multifunctional",0.3,-2386
"scansitemotifs",0.3,8.5
"percentscansitemotifs",0.3,0.007091092951205
"lys",0.3,31
"met",0.4,7.5
"percentile",0.4,-0.017068052963315
"disobindinglong",0.4,7.38912508999037
"ile",0.5,19
"percentarg",0.5,0.015896361466685
"disobindingshort",0.5,4.27831130550538
"percentiupredshortbinding",0.5,18.348880597015
"percentasp",0.5,0.01162485073348
"cai",0.5,0.034
"percentphe",0.5,0.012764168467825
"percentiupredlongbinding",0.5,23.1906716174843
"aromaticityscore",0.5,0.018734
"percentcys",0.5,-0.005346246332905
"percentmet",0.6,-0.00410536560332
"interactorsms",0.6,23.5
"percenttrp",0.7,0.003883889830865
"gravyscore",0.7,-0.1627675
"halflife",0.7,-21
"percentglu",0.7,0.00840848873028499
"percenttyr",0.7,0.00571959830133
"iupredlong",0.7,14.4718178964499
"codonbias",0.7,0.0515
"pi",0.7,-0.984999999999999
"cys",0.7,2.5
"fopscore",0.7,0.0255
"percentala",0.7,-0.00534602703785499
"percentthr",0.7,0.013579981159195
"iupredshort",0.8,7.73013227350463
"percentlys",0.8,-0.00688685725112001
"abundance",0.9,870
"interactorsyeast",0.9,9
"percentpro",0.9,-0.00176596168562
"percenthis",1,-0.000824376767975001
"percentgly",1,0.003943144060375
"percentleu",1,0.00603394594842001
"disorder",1,2.9922536889808
"percentasn",1,0.000994688621845007
"percentser",1,-0.000440330168385003
"percentgln",1,0.00134236332342499
"percentval",1,0.000579291691004999
