"","pvalue","ratio"
"ambiguous",1,0.252065402007133
"mitochondrion",1,0
"vacuole",1,1.74534811326259
"spindlepole",1,0
"cellperiphery",1,0.301234153500157
"punctatecomposite",1,0
"vacuolarmembrane",1,2.33612345402088
"er",1,0
"nuclearperiphery",1,0
"endosome",1,0
"budneck",1,0.483702523408733
"microtubule",1,0
"golgi",1,0
"lategolgi",1,0
"peroxisome",1,0
"actin",1,0
"nucleolus",1,Inf
"cytoplasm",1,1.75999306258181
"ertogolgi",1,Inf
"earlygolgi",1,0
"lipidparticle",1,0
"nucleus",1,0.73090848843329
"bud",1,1.15027134825317
"essential",1,1.14987261363798
"weissmanprion",1,1.40582842348234
"tango",1,0.483702523408733
"gersteinprion",1,1.08382141838974
"lindquistprion",1,0.8475090277681
