"","pvalue","difference"
"molecularweight",0.2,-13315.5
"proteinlength",0.2,-132
"asn",0.2,-12
"his",0.2,-6
"leu",0.2,-9
"met",0.2,-3
"phe",0.2,-7.5
"pro",0.2,-8
"ser",0.2,-13.5
"thr",0.2,-10
"abundance",0.2,27220
"disorder",0.2,-11.8638182181343
"absolutecost",0.2,-112.16
"percentser",0.2,-0.012813125147765
"percenttyr",0.2,0.00484562907674
"percentiupredlongbinding",0.2,-29.2615283267457
"scansitemotifs",0.2,-2
"trp",0.2,-1.5
"cai",0.2,0.11
"codonbias",0.2,0.147
"ala",0.2,-6
"arg",0.2,-4
"asp",0.2,-7
"gln",0.2,-6
"glu",0.2,-5.5
"gly",0.2,-3.5
"lys",0.2,-7.5
"fopscore",0.2,0.0924999999999999
"percentile",0.2,0.00227493679132
"percentphe",0.2,-0.003312422399795
"iupredlong",0.2,-12.9390537754868
"disobindinglong",0.2,-5.52436587744657
"disobindingshort",0.2,-4.07993384316194
"percentiupredshortbinding",0.2,-17.1615863326463
"iupredshort",0.2,-7.15081858970245
"val",0.3,-3.5
"percentpro",0.3,-0.003818280069735
"percentval",0.3,0.00737000735842001
"ile",0.3,-4
"percenthis",0.3,-0.00330481451763
"percentasn",0.4,-0.004141536982305
"halflife",0.4,16
"tyr",0.4,-2
"percentlys",0.4,0.00369544899218001
"percentala",0.5,0.003050311892885
"percentscansitemotifs",0.5,-0.001806391691275
"cys",0.6,0
"gravyscore",0.6,0.0545335000000001
"percentarg",0.6,0.0015763700414
"percentasp",0.6,-0.000382062632395
"percentcys",0.6,0.001062646870105
"percentmet",0.6,-0.00015648987733
"percenttrp",0.6,-0.000724443455030001
"percentgln",0.7,0.001522437352515
"pi",0.7,-0.565
"interactorsms",0.8,0.5
"evolutionaryrate",0.8,-0.00266555
"percentglu",0.8,-0.000909923792995003
"percentgly",0.8,0.002157554076635
"percentthr",0.8,-0.00031638583275001
"aromaticityscore",0.8,0.00102150000000001
"interactorsyeast",0.9,0
"multifunctional",0.9,-83
"percentleu",1,-0.000675383565294993
