"","pvalue","difference"
"ala",5e-42,19.5
"cai",3e-41,0.085
"codonbias",2e-37,0.1725
"fopscore",1e-34,0.102
"pro",2e-33,15
"gly",4e-33,16.5
"his",7e-30,9
"val",6e-28,14
"lys",3e-26,16.5
"proteinlength",2e-25,234
"molecularweight",3e-24,25257
"asp",2e-23,15
"absolutecost",2e-23,214.85
"thr",5e-23,13
"glu",5e-22,13.5
"percentleu",1e-21,-0.01283390572426
"interactorsms",2e-21,9
"arg",4e-21,10
"gln",4e-20,9
"percentcys",9e-19,-0.00484543072483
"percentala",3e-18,0.0141037803437
"asn",6e-18,13.5
"disobindinglong",2e-16,4.3682337154294
"ser",2e-16,17.5
"iupredlong",5e-16,14.3917830396945
"ile",1e-15,12.5
"tyr",1e-15,7
"percentiupredshortbinding",2e-15,21.5418353576248
"disobindingshort",6e-15,3.73637879551713
"aromaticityscore",7e-13,-0.0121175
"percentpro",1e-12,0.0079425451942
"met",3e-12,4
"leu",3e-12,15
"abundance",5e-12,5950
"phe",3e-11,7
"percentphe",4e-10,-0.00606499288053
"percentiupredlongbinding",4e-10,24.7464503042596
"scansitemotifs",4e-10,1
"gravyscore",5e-10,-0.1275075
"evolutionaryrate",6e-09,-0.0308412
"percentgly",1e-08,0.007735065246095
"percentmet",3e-08,-0.0024342312807
"multifunctional",4e-08,-855.5
"iupredshort",4e-08,7.7807062427794
"percenthis",2e-07,0.003336898999135
"percentile",3e-06,-0.00407048176304499
"trp",3e-05,1
"percentasp",8e-05,0.004189394498545
"percentlys",0.001,0.00470155461604499
"percenttrp",0.002,-0.00120016850409
"percenttyr",0.003,-0.00226916032989
"percentglu",0.004,0.002431119223895
"percentscansitemotifs",0.005,0.0011060488917
"disorder",0.01,7.17984145435685
"percentval",0.03,0.003081147507545
"percentthr",0.1,0.00215339020430499
"interactorsyeast",0.1,0
"halflife",0.1,11
"percentser",0.1,-0.006371288286175
"percentarg",0.2,-0.00100583547128
"pi",0.3,-0.414999999999999
"percentasn",0.4,-0.00127722911221
"cys",0.5,1
"percentgln",0.5,-0.000335581842610004
