"","pvalue","difference"
"his",4e-24,8
"pro",2e-21,13
"disobindinglong",2e-21,4.3682337154294
"disobindingshort",4e-19,3.73637879551713
"asn",5e-19,13.5
"percentiupredshortbinding",9e-19,21.5418353576248
"percentiupredlongbinding",2e-18,24.7464503042596
"ser",3e-18,19.5
"scansitemotifs",6e-18,2
"proteinlength",7e-17,196.5
"molecularweight",7e-17,21423.5
"iupredlong",8e-17,15.1858944204049
"absolutecost",1e-16,182.395
"thr",6e-16,11
"arg",6e-15,9
"gln",7e-14,8
"lys",2e-13,12.5
"tyr",5e-13,7
"asp",7e-13,12
"iupredshort",7e-13,9.94267724360458
"percenthis",1e-12,0.004777964393685
"ile",2e-11,10.5
"met",3e-11,4
"ala",2e-10,8.5
"percentasn",3e-10,0.00648524845984999
"leu",6e-10,14
"phe",9e-10,6
"percentpro",1e-09,0.00662042578021
"percentscansitemotifs",1e-09,0.00259980523861
"gravyscore",1e-09,-0.1477925
"glu",1e-09,8.5
"disorder",1e-09,13.2377916789201
"gly",7e-09,8.5
"percentval",2e-08,-0.008655556480675
"percentser",2e-08,0.00825331475306
"val",2e-08,8
"evolutionaryrate",7e-07,0.01252405
"trp",2e-05,1
"percentgly",3e-05,-0.007575789070265
"percentala",9e-05,-0.008581909014675
"percentleu",2e-04,-0.00479588721031499
"codonbias",2e-04,-0.0685
"cys",2e-04,1
"fopscore",2e-04,-0.0399999999999999
"cai",0.001,-0.037
"halflife",0.005,-13
"percentglu",0.01,-0.003708303272175
"pi",0.01,0.535
"abundance",0.03,-5200
"percentphe",0.03,-0.00194328146804
"aromaticityscore",0.06,-0.002771
"percentthr",0.06,0.0019039678245
"percentile",0.1,-0.000358458843029999
"multifunctional",0.2,374
"percentcys",0.2,-0.000790232763825
"percentlys",0.2,-0.00130031523964499
"interactorsms",0.3,2
"percentmet",0.5,-0.000159682544990002
"percentgln",0.5,0.000450583270750003
"interactorsyeast",0.6,0
"percenttrp",0.7,-0.0002344740603
"percentarg",0.7,0.00100547048571
"percentasp",0.7,0.000176249397884999
"percenttyr",0.9,-0.000286698278244998
