"","pvalue","ratio"
"cytoplasm",0.6,10.8192524726
"nucleus",0.9,5.45543137596386
"gersteinprion",0.9,9.81411912459547
"lindquistprion",0.9,9.24638168256497
"ambiguous",1,0
"mitochondrion",1,0
"vacuole",1,0
"spindlepole",1,0
"cellperiphery",1,0
"punctatecomposite",1,0
"vacuolarmembrane",1,0
"er",1,0
"nuclearperiphery",1,0
"endosome",1,0
"budneck",1,0
"microtubule",1,0
"golgi",1,0
"lategolgi",1,0
"peroxisome",1,0
"actin",1,0
"nucleolus",1,0
"ertogolgi",1,0
"earlygolgi",1,0
"lipidparticle",1,0
"bud",1,0
"essential",1,3.35640652782179
"weissmanprion",1,0
"tango",1,0
